hrl_code,hrl_name,parcel_count
0.0,No Cropland,186961
1120.0,Barley,13622
1140.0,Rice,40517
1150.0,Other Cereals,183435
1210.0,Fresh Vegetables,79644
1220.0,Dry Pulses,2460
1310.0,Potatoes,801
1410.0,Sunflower,1184
1420.0,Soybeans,23226
1430.0,Rapeseed,2210
1440.0,"Flax, cotton and hemp",154
2100.0,Grapes,17
2200.0,Olives,3631
2310.0,Fruits,36177
2320.0,Nuts,626
3100.0,Unclassified arable crop,38842
3200.0,Unclassified permanent crop,21448
