hcat3_code,hcat3_name,ec_code,ec_name,hrl_code,hrl_name
3303030500,sweet_chestnuts,300.0,Woodland and shrubland type of vegetation,2320,Nuts
3303030600,walnuts,300.0,Woodland and shrubland type of vegetation,2320,Nuts
3303040000,citrus_plantations,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303050000,olive_plantations,300.0,Woodland and shrubland type of vegetation,2200,Olives
3303050100,olives_for_oil_production,300.0,Woodland and shrubland type of vegetation,2200,Olives
3303050200,table_olives,300.0,Woodland and shrubland type of vegetation,2200,Olives
3303060000,vineyards_wine_vine_rebland_grapes,300.0,Woodland and shrubland type of vegetation,2100,Grapes
3303070000,nurseries_nursery,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3303080000,shrubberries_shrubs,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303080100,azaleas,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303080200,chaenomeles_cathayensis,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303080300,crataegus_hawthorn,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303080400,elder_elderberry,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303080500,honeysuckle,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303080600,ricinus_castor,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303080700,wire_bush,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303090000,ginko,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3303100000,avocado,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303110000,legumes_from_trees,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303110100,carob,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303110200,mesquite,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303110300,tamarind,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303120000,unspecified_permanent_crops,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3303990000,other_permanent_crops_plantations,300.0,Woodland and shrubland type of vegetation,2310,Fruits
3304000000,mushrooms_energy_genetically_modified_crops,,,3100,Unclassified arable crop
3304010000,energy_crops,,,3100,Unclassified arable crop
3304020000,genetically_modified_crops,,,3100,Unclassified arable crop
3304020100,igniscum_candy,250.0,Other fodder crops (excl. temp. grasslands),1210,Fresh Vegetables
3304030000,sida_virginia_mallow,240.0,"Dry pulses, vegetables and flowers",1210,Fresh Vegetables
3304040000,truffle,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
