Italian_Name;English_Name;HCAT2_Name;HCAT2_Code;Direct_Match;Reason
DOLCETTA (GALLINELLA SONCINO VALERIANELLA);Lamb’s lettuce (corn salad);vegetables;3301200000;no;Matched as vegetables based on keywords
MELANZANA;Eggplant (aubergine);vegetables;3301200000;no;Matched as vegetables based on keywords
FAGIOLO D'EGITTO;Egyptian kidney bean;vegetables;3301200000;no;Matched as vegetables based on keywords
FAVE FAVINO E FAVETTE;Broad bean (fava bean);vegetables;3301200000;no;Matched as vegetables based on keywords
ORTIVE A PIENO CAMPO;Open-field vegetables;vegetables;3301200000;no;Matched as vegetables based on keywords
VIVAI ORTICOLI;Vegetable nurseries;vegetables;3301200000;no;Matched as vegetables based on keywords
MOCO;Hyacinth bean (Lablab purpureus);vegetables;3301200000;no;Matched as vegetables based on keywords
PEPERONE;Bell pepper;vegetables;3301200000;no;Matched as vegetables based on keywords
ROVEJA PISELLO SELVATICO;Roveja (wild pea);vegetables;3301200000;no;Matched as vegetables based on keywords
FAGIOLO DI SPAGNA;Spanish bean (runner bean);vegetables;3301200000;no;Matched as vegetables based on keywords
CIPOLLETTA CIPOLLA D'INVERNO O BUNCHING ONION;Bunching onion (winter onion);vegetables;3301200000;no;Matched as vegetables based on keywords
ZUCCHINO;Zucchini (courgette);vegetables;3301200000;no;Matched as vegetables based on keywords
VECCIA VILLOSA;Hairy vetch;vetches;3301090305;no;
VECCIA SATIVA;Common vetch;vetches;3301090305;yes;
VECCE;Vetch;vetches;3301090305;no;Partial match found in HCAT2 names
VIVAI VITICOLI E VITI MADRI DI PORTAINNESTI;Vine nurseries and rootstock mother vines;vineyards_wine_vine_rebland_grapes;3303060000;no;
VIOLA TRICOLOR;Pansy (Viola tricolor);viola;3301085000;no;Partial match found in HCAT2 names
NOCE;Walnut;walnuts;3303030600;no;Partial match found in HCAT2 names
COCOMERO;Watermelon;watermelon;3301140500;yes;Direct exact match
SALICE;Willow;willows_osiers;3306080000;no;Partial match found in HCAT2 names
ACHILLEA;Yarrow (Achillea);yarrow;3301061239;no;Partial match found in HCAT2 names
SUPERFICI AGRICOLE RITIRATE DALLA PRODUZIONE;Agricultural land withdrawn from production;not_known_and_other;3399000000;no;
