Italian_Name;English_Name;HCAT2_Name;HCAT2_Code;Direct_Match;Reason
ANANASSI;Pineapple;fruit;3303010000;no;Matched as fruit based on keywords
FICODINDIA o FICO D'INDIA;Prickly pear;fruit;3303010000;no;Matched as fruit based on keywords
"MIRTILLI ROSSI MIRTILLI NERI ED ALTRI FRUTTI DEL GENERE ""VACCINIUM""";Cranberries  blueberries  and other Vaccinium fruits;fruit;3303010000;no;Matched as fruit based on keywords
CILIEGIO ACIDO (MARASCA VISCIOLA AMARENA);Sour cherry;fruit;3303010000;no;Matched as fruit based on keywords
FRAGOLA;Strawberry;fruit;3303010000;no;Matched as fruit based on keywords
MENTA DOLCE;Spearmint;fruit;3303010000;no;Matched as fruit based on keywords
VISCIOLE;Morello cherry;fruit;3303010000;no;Matched as fruit based on keywords
RIBES BIANCO (UVA SPINA);White currant (gooseberry);fruit;3303010000;no;Matched as fruit based on keywords
GALEGA O CAPRAGGINE;Goat’s rue (Galega);galega;3301081900;no;Partial match found in HCAT2 names
AGLIO;Garlic;garlic;3301220200;yes;Direct exact match
GENZIANA;Gentian;gentians;3301082000;no;Partial match found in HCAT2 names
GLADIOLO;Gladiolus;gladiolus_gladioli;3301082100;no;Partial match found in HCAT2 names
VERGA D'ORO (SOLIDAGO VIRGA AUREA L.);Goldenrod;goldenrod;3301082200;yes;Direct exact match
NOCCIOLO;Hazelnut;hazelnuts_hazel;3303030200;no;Partial match found in HCAT2 names
CANAPA;Hemp;hemp_cannabis;3301061000;no;Partial match found in HCAT2 names
OLIVELLO O OLIVELLO SPINOSO;Sea buckthorn;hippophae_sea_buckthorns_seaberry;3303020800;yes;
LUPPOLO;Hop;hops;3301060200;no;Partial match found in HCAT2 names
RAFANO;Horseradish;horseradish;3301210400;yes;Direct exact match
BAMBU GIGANTE;Giant bamboo;industrial_nonfood_crops;3301060000;no;
LUFFA;Luffa;industrial_nonfood_crops;3301060000;no;
RESEDA O GUADERELLA O LUTEOLA;Dyer’s rocket (Reseda luteola);industrial_nonfood_crops;3301060000;no;
GIAGGIOLO (IRIS) PALLIDA;Pale iris;iris;3301082300;no;Partial match found in HCAT2 names
GIAGGIOLO O GIGLIO BIANCO IRIS FIORENTINA;Florentine iris (white lily);iris;3301082300;no;Partial match found in HCAT2 names
GUALDO;Woad (Isatis tinctoria);isatis_tinctoria_woad;3301082400;yes;
ORTI FAMILIARI;Family gardens;kitchen_gardens;3301120000;no;
ACTINIDIA (KIWI);Kiwi;kiwi;3303010700;yes;Direct exact match
CAVOLO RAPA;Kohlrabi;kohlrabi;3301210209;yes;Direct exact match
LAVANDA;Lavender;lavender_lavandula;3301061219;no;Partial match found in HCAT2 names
PORRO;Leek;leek;3301220300;yes;Direct exact match
AGRETTO;Salsola soda (Agretti);legumes_forage_crops;3301020000;no;Matched as legumes forage crops based on keywords
ERBA MEDICA (SP. MEDICAGO SATIVA L. (VARIETA'));Alfalfa (Medicago sativa);legumes_forage_crops;3301020000;no;Matched as legumes forage crops based on keywords
ROBINIA;Black locust (Robinia);legumes_from_trees;3303110000;no;
GINESTRINO;Birdsfoot trefoil;legumes_harvested_green;3301090300;no;
MISCUGLIO DI AZOTOFISSATRICI;Nitrogen-fixing crop mix;legumes_harvested_green;3301090300;no;
SULLA;Sulla (Hedysarum coronarium);legumes_harvested_green;3301090300;no;
LIMONE;Lemon;lemon_balm_melissa;3301061220;no;Partial match found in HCAT2 names
LENTICCHIE;Lentil;lentils;3301020500;no;Partial match found in HCAT2 names
CARDO MARIANO;Milk thistle;marian_thistles;3301061300;yes;
AZZERUOLO;Medlar (Crataegus azarolus);medlar_loquat;3303010800;no;
NESPOLO;Medlar;medlar_loquat;3303010800;no;Partial match found in HCAT2 names
MELILOTO;Melilot;melilot;3301090304;yes;Direct exact match
MELONE;Melon;melon;3301140300;yes;Direct exact match
MIGLIO;Millet;millet_sorghum;3301010900;no;Partial match found in HCAT2 names
SORGO;Sorghum;millet_sorghum;3301010900;no;Partial match found in HCAT2 names
CODA DI VOLPE;Foxtail;millet_sorghum;3301010900;no;
PANICO;Foxtail millet;millet_sorghum;3301010900;no;
MENTA;Mint;mints_peppermint;3301061222;no;Partial match found in HCAT2 names
MENTA PIPERITA;Peppermint;mints_peppermint;3301061222;no;Partial match found in HCAT2 names
ARUNDO DONAX;Giant reed (Arundo donax);miscanthus_silvergrass;3301083000;no;
FUNGHI;Mushrooms;mushrooms_energy_genetically_modified_crops;3304000000;no;Partial match found in HCAT2 names
SENAPE NERA;Black mustard;mustard;3301210100;no;Partial match found in HCAT2 names
BRASSICA CARINATA (CAVOLO ABISSINO);Ethiopian mustard (Brassica carinata);mustard;3301210100;no;Partial match found in HCAT2 names
SENAPE BRUNA;Brown mustard;mustard;3301210100;no;Partial match found in HCAT2 names
ERISMO;Hedge mustard (Erismum);mustard;3301210100;no;Partial match found in HCAT2 names
SENAPE;Mustard;mustard;3301210100;yes;Direct exact match
NASTURZIO;Nasturtium;nasturtiums;3301061224;no;Partial match found in HCAT2 names
PESCO NETTARINA;Nectarine;nectarine;3303010900;yes;Direct exact match
ORTICA;Nettle;nettles;3301061225;no;Partial match found in HCAT2 names
MARGINI DEI CAMPI;Field margins;not_known_and_other;3399000000;no;ok
MACERI STAGNI E LAGHETTI;Ponds and small lakes;not_known_and_other;3399000000;no;ok
MANUFATTI;Manufactured goods;not_known_and_other;3399000000;no;ok
FOSSATI E CANALI;Ditches and canals;not_known_and_other;3399000000;no;ok
USO NON AGRICOLO - ALTRO;Non-agricultural use - other;not_known_and_other;3399000000;no;ok
USO NON AGRICOLO - TARE;Non-agricultural use - tare;not_known_and_other;3399000000;no;ok
FASCE TAMPONE NON RIPARIALI;Non-riparian buffer strips;not_known_and_other;3399000000;no;ok
FASCE TAMPONE RIPARIALI;Riparian buffer strips;not_known_and_other;3399000000;no;ok
RUSCUS;Butcher’s broom (Ruscus);flowers_ornamental_plants;3301080000;no;
SANTOREGGIA MONTANA;Winter savory;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;
SCAGLIOLA;Canary grass;poaceae_grasses;3301090200;no;
SERRADELLA;Sainfoin (Ornithopus sativus);legumes_harvested_green;3301090300;no;
SESAMO;Sesame;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;
SILENE O SIRENE O STRIGOLI DA ORTO;Silene (bladder campion);flowers_ornamental_plants;3301080000;no;
SILFIO (PIANTA DI COPPO) Silphium perfoliatum;Cup plant (Silphium perfoliatum);flowers_ornamental_plants;3301080000;no;
STEVIA REBAUDIANA;Stevia;aromatic_medicinal_culinary_plants_spices_herbs;3301061200;no;
STRELITZIA;Bird of paradise (Strelitzia);flowers_ornamental_plants;3301080000;no;
CANNA DA ZUCCHERO;Sugarcane;other_permanent_crops_plantations;3303990000;no;
TERRAZZAMENTI;Terraces;not_known_and_other;3399000000;no;ok
MURETTI TRADIZIONALI;Traditional dry stone walls;not_known_and_other;3399000000;no;ok
TRITORDEUM;Tritordeum;cereal;3301010000;no;
FETTUCCIA D'ACQUA;Ribbon weed;not_known_and_other;3399000000;no;ok
VIVAI OLIVICOLI;Olive nurseries;nurseries_nursery;3303070000;no;
VIVAI - ALTRI;Other nurseries;nurseries_nursery;3303070000;no;
FRUTTA A GUSCIO;Nuts;nuts;3303030000;yes;Direct exact match
ARACHIDE;Peanut;nuts;3303020000;no;Matched as nuts based on keywords
CERRO;Turkey oak (Quercus cerris);oak;3306060000;no;Partial match found in HCAT2 names
QUERCIA DI DALECHAMPS;Dalechamp’s oak;oak;3306060000;no;Partial match found in HCAT2 names
FARNIA;English oak (Quercus robur);oak;3306060000;no;Partial match found in HCAT2 names
LECCIO;Holm oak;oak;3306060000;no;Partial match found in HCAT2 names
ROVERE;Sessile oak;oak;3306060000;no;Partial match found in HCAT2 names
ROVERELLA;Downy oak;oak;3306060000;no;Partial match found in HCAT2 names
QUERCIA SPINOSA;Kermes oak;oak;3306060000;no;Partial match found in HCAT2 names
AVENA;Oats;oats;3301010500;yes;Direct exact match
OLIVO;Olive;olive_plantations;3303050000;no;Partial match found in HCAT2 names
LUPINELLA;Sainfoin;onobrychis_sainfoins;3301061600;no;Partial match found in HCAT2 names
LOTO (KAKI) (COMPRESO IL CACO MELA);Persimmon;orchards_fruits;3303010000;no;
GUAIAVE MANGO E MANGOSTANO;Guava  mango  mangosteen;orchards_fruits;3303010000;no;
ORIGANO;Oregano;oregano;3301061226;yes;Direct exact match
BAMBU;Bamboo;other_permanent_crops_plantations;3303990000;no;
PASTINACA;Parsnip;parsnips;3301290500;no;Partial match found in HCAT2 names
PRATO POLIFITA;Mixed grassland;pasture_meadow_grassland_grass;3302000000;no;
PASCOLO POLIFITA CON ROCCIA AFFIORANTE TARA 20%;Rocky mixed pasture (20% tare);pasture_meadow_grassland_grass;3302000000;no;
PASCOLO POLIFITA CON ROCCIA AFFIORANTE TARA 50%;Rocky mixed pasture (50% tare);pasture_meadow_grassland_grass;3302000000;no;
PRATO PASCOLO;Pasture meadow;pasture_meadow_grassland_grass;3302000000;no;
PASCOLO CON PRATICHE TRADIZIONALI;Traditional pasture;pasture_meadow_grassland_grass;3302000000;no;
ERBA MAZZOLINA;Meadow grass;pasture_meadow_grassland_grass;3302000000;no;
PASCOLO POLIFITA;Mixed pasture;pasture_meadow_grassland_grass;3302000000;no;
PRATI PERMANENTI NATURALI CON VINCOLI AMBIENTALI;Permanent natural grassland (with environmental constraints);pasture_meadow_grassland_grass;3302000000;no;
